run_id,name,gender,race,major,query_response_raw,query_response
0,Charlie Andersen,Man,Anglo,Electrical Engineering,,
1,Charlie Andersen,Man,Anglo,Electrical Engineering,,
2,Charlie Andersen,Man,Anglo,Electrical Engineering,,
3,Charlie Andersen,Man,Anglo,Electrical Engineering,,
4,Charlie Andersen,Man,Anglo,Electrical Engineering,,
5,Charlie Andersen,Man,Anglo,Electrical Engineering,,
6,Charlie Andersen,Man,Anglo,Computer Science,,
7,Charlie Andersen,Man,Anglo,Computer Science,,
8,Charlie Andersen,Man,Anglo,Computer Science,,
9,Charlie Andersen,Man,Anglo,Computer Science,,
10,Charlie Andersen,Man,Anglo,Computer Science,,
11,Charlie Andersen,Man,Anglo,Computer Science,,
12,Charlie Andersen,Man,Anglo,Neuroscience,,
13,Charlie Andersen,Man,Anglo,Neuroscience,,
14,Charlie Andersen,Man,Anglo,Neuroscience,,
15,Charlie Andersen,Man,Anglo,Neuroscience,,
16,Charlie Andersen,Man,Anglo,Neuroscience,,
17,Charlie Andersen,Man,Anglo,Neuroscience,,
18,Charlie Andersen,Man,Anglo,Data Science,,
19,Charlie Andersen,Man,Anglo,Data Science,,
20,Charlie Andersen,Man,Anglo,Data Science,,
21,Charlie Andersen,Man,Anglo,Data Science,,
22,Charlie Andersen,Man,Anglo,Data Science,,
23,Charlie Andersen,Man,Anglo,Data Science,,
24,Charlie Andersen,Man,Anglo,Biology,,
25,Charlie Andersen,Man,Anglo,Biology,,
26,Charlie Andersen,Man,Anglo,Biology,,
27,Charlie Andersen,Man,Anglo,Biology,,
28,Charlie Andersen,Man,Anglo,Biology,,
29,Charlie Andersen,Man,Anglo,Biology,,
30,Charlie Andersen,Man,Anglo,Psychology,,
31,Charlie Andersen,Man,Anglo,Psychology,,
32,Charlie Andersen,Man,Anglo,Psychology,,
33,Charlie Andersen,Man,Anglo,Psychology,,
34,Charlie Andersen,Man,Anglo,Psychology,,
35,Charlie Andersen,Man,Anglo,Psychology,,
36,Charlie Andersen,Man,Anglo,Communication,,
37,Charlie Andersen,Man,Anglo,Communication,,
38,Charlie Andersen,Man,Anglo,Communication,,
39,Charlie Andersen,Man,Anglo,Communication,,
